"Cell","Key","Value","Improvement"
1,"Lon","37.5",2.2146310337007
1,"Lat","-17.5",0.82253996725376
1,"Lon","42.5",0.815156791539948
1,"Lon","67.5",0.419937196256342
1,"Lat","-22.5",0.407177040469151
1,"Lon","62.5",0.350878280133429
1,"Lon","92.5",0.330079377381935
1,"Lat","-12.5",0.304812506911276
1,"CQrt","14;23",0.284281626346001
1,"Lon","72.5",0.2839377693806
1,"Lon","57.5",0.255932145077622
1,"CQrt","124;3",0.241200496021293
1,"Lon","47.5",0.207390732832209
1,"CQrt","134;2",0.205530074966191
1,"Lon","87.5",0.201677976108613
1,"Lon","77.5",0.171814778569114
1,"Qrt","123;4",0.163280232667375
1,"Qrt","12;34",0.153658302408076
1,"Lon","52.5",0.13067607713765
1,"Qrt","1;234",0.130016622972107
2,"Lon","42.5",7.44673680190181
2,"Lon","57.5",5.51075796020564
2,"Lon","62.5",3.99589520975064
2,"Lon","72.5",2.79025815098498
2,"Lon","47.5",2.44237091365221
2,"Lon","82.5",1.91842307232832
2,"Lon","37.5",1.42664021346195
2,"Lon","77.5",1.30655213985096
2,"Lon","87.5",1.22960954918381
2,"Lon","52.5",0.920562388846747
2,"Lon","67.5",0.802243819444811
2,"Lon","92.5",0.5879544384768
2,"CQrt","124;3",0.253967470672478
2,"Qrt","1;234",0.237625365754184
2,"Qrt","12;34",0.226764079308168
2,"CQrt","134;2",0.214977354386747
2,"Qrt","123;4",0.181878420666408
2,"CQrt","14;23",0.11284875568299
2,"Lat","-2.5",0
3,"Lon","67.5",2.51787309272368
3,"Lat","2.5",2.22513126141212
3,"Lon","47.5",1.99114868855759
3,"Lon","52.5",1.64862462393148
3,"Lon","72.5",1.56708239610816
3,"Lon","42.5",1.28092021394878
3,"Lat","12.5",1.12633306975476
3,"Lat","7.5",0.871353716554495
3,"Lon","77.5",0.635905722031566
3,"Lat","17.5",0.611063337580617
3,"Qrt","12;34",0.606601695184509
3,"CQrt","14;23",0.569841887853272
3,"Qrt","1;234",0.548389548905106
3,"Lon","82.5",0.529790362903441
3,"CQrt","134;2",0.493830705259825
3,"Lon","57.5",0.389783459910177
3,"Lon","87.5",0.322218002135287
3,"Lon","62.5",0.258073709889686
3,"Qrt","123;4",0.239302114960992
3,"CQrt","124;3",0.157061806915408
3,"Lon","92.5",0.0424093023102614
